,behavior_session_id,ecephys_session_id
0,1048005547,1047969464
1,1048009327,1047977240
3,1048222325,1048196054
4,1049299003,1049273528
5,1049542142,1049514117
6,1052374521,1052342277
7,1052572359,1052533639
8,1053759575,1053709239
9,1053759573,1053718935
10,1053960984,1053925378
11,1053960987,1053941483
12,1055253879,1055221968
13,1055260435,1055240613
14,1055431030,1055403683
15,1055434752,1055415082
16,1062781531,1062755779
17,1063068136,1063010385
19,1064445631,1064415305
20,1064668541,1064639378
22,1065499125,1065437523
23,1065491938,1065449881
24,1065929713,1065905010
25,1065927708,1065908084
26,1067611872,1067588044
27,1067817036,1067781390
28,1081118392,1081079981
29,1081125370,1081090969
30,1081474898,1081429294
31,1081469485,1081431006
32,1086220230,1086200042
33,1086446431,1086410738
34,1087742174,1087720624
36,1090830527,1090803859
37,1091068323,1091039376
38,1091070296,1091039902
39,1092312238,1092283837
40,1092494311,1092466205
41,1093668878,1093638203
42,1093670602,1093642839
43,1093938328,1093864136
44,1093935326,1093867806
45,1095177109,1095138995
46,1095376453,1095340643
47,1096694612,1096620314
49,1104103368,1104058216
50,1104327081,1104289498
51,1105594809,1105543760
54,1108567373,1108531612
55,1111047108,1111013640
56,1111250074,1111216934
57,1112334683,1112302803
58,1112548552,1112515874
59,1115115786,1115077618
60,1115115784,1115086689
61,1090829963,1090800639
62,1115423017,1115356973
63,1115431348,1115368723
65,1118614693,1118508667
66,1121438973,1121406444
68,1152646832,1152632711
69,1152845816,1152811536
