mouse_id,training_until_ready,behavior_session_id,date_of_acquisition,session_type,ecephys_session_id
560771,11,1092494311,2021-03-25 15:18:29.546000+00:00,EPHYS_1_images_H_3uL_reward,1092466205
533539,12,1055434752,2020-10-08 15:44:11.498000+00:00,EPHYS_1_images_H_3uL_reward,1055415082
544838,12,1065927708,2020-11-24 14:07:51.473000+00:00,EPHYS_1_images_H_3uL_reward,1065908084
563323,12,1098381561,2021-04-22 13:41:36.744000+00:00,EPHYS_1_images_H_3uL_reward,1098350754
556014,13,1088053452,2021-03-04 14:37:22.912000+00:00,EPHYS_1_images_H_3uL_reward,1087992708
556021,13,1086451851,2021-02-25 15:42:31.619000+00:00,EPHYS_1_images_H_3uL_reward,1086433081
546512,13,1067835184,2020-12-03 15:10:53.564000+00:00,EPHYS_1_images_H_3uL_reward,1067790400
570301,13,1108567373,2021-06-10 13:49:08.150000+00:00,EPHYS_1_images_H_3uL_reward,1108531612
548721,14,1081469485,2021-02-04 14:29:30.513000+00:00,EPHYS_1_images_H_3uL_reward,1081431006
544358,14,1065929713,2020-11-24 14:21:48.847000+00:00,EPHYS_1_images_H_3uL_reward,1065905010
548720,14,1081474898,2021-02-04 14:53:48.476000+00:00,EPHYS_1_images_H_3uL_reward,1081429294
572846,14,1112548552,2021-07-01 13:19:23.601000+00:00,EPHYS_1_images_H_3uL_reward,1112515874
556016,14,1089636567,2021-03-11 15:14:20.619000+00:00,EPHYS_1_images_H_3uL_reward,1089572777
574078,14,1115431348,2021-07-14 15:47:10.705000+00:00,EPHYS_1_images_H_3uL_reward,1115368723
548717,15,1079337334,2021-01-28 15:09:50.029000+00:00,EPHYS_1_images_H_3uL_reward,1079278078
544456,15,1064666428,2020-11-19 15:18:01.372000+00:00,EPHYS_1_images_H_3uL_reward,1064644573
553960,15,1091068323,2021-03-18 14:09:41.347000+00:00,EPHYS_1_images_H_3uL_reward,1091039376
553964,16,1088056857,2021-03-04 15:02:25.871000+00:00,EPHYS_1_images_H_3uL_reward,1087993643
554013,17,1086446431,2021-02-25 15:03:47.338000+00:00,EPHYS_1_images_H_3uL_reward,1086410738
542072,17,1063068179,2020-11-12 15:19:33.358000+00:00,EPHYS_1_images_H_3uL_reward,1063010496
548716,18,1084963019,2021-02-18 14:18:35.961000+00:00,EPHYS_1_images_H_3uL_reward,1084938101
533537,19,1055431030,2020-10-08 15:12:55.061000+00:00,EPHYS_1_images_H_3uL_reward,1055403683
548715,19,1077916733,2021-01-21 14:14:08.361000+00:00,EPHYS_1_images_H_3uL_reward,1077891954
560356,20,1093935326,2021-04-01 14:29:33.792000+00:00,EPHYS_1_images_H_3uL_reward,1093867806
544837,21,1069520080,2020-12-10 14:13:04.922000+00:00,EPHYS_1_images_H_3uL_reward,1069458330
548465,23,1071409007,2020-12-17 14:59:40.168000+00:00,EPHYS_1_images_H_3uL_reward,1071300149
544836,23,1067817036,2020-12-03 14:18:28.693000+00:00,EPHYS_1_images_H_3uL_reward,1067781390
564012,24,1101494593,2021-05-06 14:02:14.621000+00:00,EPHYS_1_images_H_3uL_reward,1101473342
560770,24,1096959372,2021-04-15 14:37:33.582000+00:00,EPHYS_1_images_H_3uL_reward,1096935816
555304,25,1091070296,2021-03-18 14:21:13.413000+00:00,EPHYS_1_images_H_3uL_reward,1091039902
553253,25,1093938328,2021-04-01 14:43:52.154000+00:00,EPHYS_1_images_H_3uL_reward,1093864136
541234,26,1063068136,2020-11-12 15:27:33.661000+00:00,EPHYS_1_images_H_3uL_reward,1063010385
550324,27,1084966043,2021-02-18 14:42:52.250000+00:00,EPHYS_1_images_H_3uL_reward,1084939136
536213,28,1061525712,2020-11-05 15:26:43.105000+00:00,EPHYS_1_images_H_3uL_reward,1061463555
563497,31,1104327081,2021-05-20 14:45:32.653000+00:00,EPHYS_1_images_H_3uL_reward,1104289498
545996,31,1077918303,2021-01-21 14:24:28.279000+00:00,EPHYS_1_images_H_3uL_reward,1077897245
558306,33,1095376453,2021-04-08 14:01:56.723000+00:00,EPHYS_1_images_H_3uL_reward,1095340643
540536,47,1072602232,2020-12-23 14:54:08.559000+00:00,EPHYS_1_images_H_3uL_reward,1072572100
